recipe_name,meal_type,prep_time,calories_per_serving,protein_per_serving,carbs_per_serving,fats_per_serving,fiber_per_serving,ingredients,calorie_level,suitable_for_diabetes,suitable_for_hypertension,suitable_for_high_cholesterol
Greek Yogurt Parfait,breakfast,10,320,20,40,10,6,"Greek yogurt, berries, honey, granola, chia seeds",medium,yes,yes,yes
Veggie Omelette,breakfast,15,350,24,8,24,3,"Eggs, spinach, tomatoes, bell peppers, onion, cheese",medium,yes,yes,no
Overnight Oats,breakfast,10,350,15,50,10,8,"Oats, almond milk, chia seeds, banana, berries, honey",medium,yes,yes,yes
Salmon Avocado Toast,breakfast,15,420,25,30,22,6,"Whole grain bread, smoked salmon, avocado, lemon juice, red onion",medium,yes,yes,yes
Protein Pancakes,breakfast,20,400,25,45,12,4,"Oats, banana, egg whites, protein powder, cinnamon, berries",medium,yes,yes,yes
Chicken Quinoa Bowl,lunch,25,450,35,45,15,8,"Chicken breast, quinoa, mixed vegetables, olive oil, lemon juice, herbs",medium,yes,yes,yes
Mediterranean Salad,lunch,15,380,15,25,25,7,"Mixed greens, cherry tomatoes, cucumber, feta cheese, olives, chickpeas, olive oil, lemon dressing",medium,yes,yes,yes
Lentil Soup,lunch,30,320,18,40,8,12,"Lentils, carrots, celery, onion, garlic, tomatoes, vegetable broth, spices",low,yes,yes,yes
Turkey Wrap,lunch,10,400,30,40,12,6,"Whole grain wrap, turkey breast, avocado, lettuce, tomato, mustard",medium,yes,yes,yes
Tofu Stir Fry,lunch,20,350,20,30,18,8,"Tofu, broccoli, bell peppers, carrots, snap peas, brown rice, ginger, garlic, soy sauce",low,yes,no,yes
Salmon with Roasted Vegetables,dinner,30,420,35,20,22,6,"Salmon fillet, asparagus, bell peppers, zucchini, olive oil, lemon, herbs",medium,yes,yes,yes
Turkey Meatballs with Zoodles,dinner,35,380,35,15,20,5,"Ground turkey, eggs, almond flour, zucchini, tomato sauce, Italian herbs",low,yes,yes,yes
Baked Chicken with Sweet Potato,dinner,40,450,40,35,15,6,"Chicken breast, sweet potato, broccoli, olive oil, herbs",medium,yes,yes,yes
